id,arabic_word,frequency,english_translation,chinese_translation,status
1,تصنيف,14870816,,,new
2,تاريخ,10127972,,,new
3,مسار,7286539,,,new
4,أرشيف,7008853,,,new
5,عنوان,4773269,,,new
6,استشهاد,4329862,,,new
7,الوصول,2735691,,,new
8,كرة,2658829,,,new
9,المتحدة,2328426,,,new
10,مراجع,2197019,,,new
11,عام,1991870,,,new
12,الأول,1968087,,,new
13,ناشر,1696839,,,new
14,الولايات,1675818,,,new
15,لغة,1656738,,,new
16,لاعبو,1626013,,,new
17,قدم,1536100,,,new
18,موقع,1508608,,,new
19,اسم,1475624,,,new
20,بويب,1471695,,,new
21,الأخير,1461327,,,new
22,معلومات,1409936,,,new
23,شريط,1372710,,,new
24,سنة,1357526,,,new
25,نادي,1339362,,,new
26,القرن,1338126,,,new
27,ويب,1304827,,,new
28,القدم,1300778,,,new
29,بوابات,1291553,,,new
30,بذرة,1289786,,,new
31,تحويلة,1228325,,,new
32,تحويل,1224724,,,new
33,المنطقة,1171230,,,new
34,أعلام,1130657,,,new
35,مؤلف,1130333,,,new
36,ملف,1084463,,,new
37,رمز,1018563,,,new
38,عدد,964359,,,new
39,بن,951102,,,new
40,صندوق,923318,,,new
41,روابط,912759,,,new
42,سنوات,885452,,,new
43,صحيفة,847048,,,new
44,مواليد,801102,,,new
45,نوع,786723,,,new
46,أهداف,784872,,,new
47,كانت,750881,,,new
48,نقاش,734988,,,new
49,لكرة,734712,,,new
50,لاعب,733106,,,new
51,بوابة,732558,,,new
52,الاسم,719644,,,new
53,تعداد,702029,,,new
54,أندية,700124,,,new
55,عبد,699377,,,new
56,البلد,697320,,,new
57,حالة,696065,,,new
58,عقد,675151,,,new
59,عمل,674156,,,new
60,مباريات,669664,,,new
61,تم,663996,,,new
62,قائمة,663050,,,new
63,مولد,652730,,,new
64,محمد,651290,,,new
65,الصورة,646326,,,new
66,مستخدم,626123,,,new
67,أشخاص,622285,,,new
68,مقاطعة,620922,,,new
69,أفلام,619812,,,new
70,خارجية,615560,,,new
71,صورة,611981,,,new
72,مكان,575812,,,new
73,أمريكيون,573637,,,new
74,المسار,573120,,,new
75,مدينة,568283,,,new
76,تعليق,560503,,,new
77,محافظة,558058,,,new
78,خلال,541378,,,new
79,صفحة,538752,,,new
80,يتيمة,533664,,,new
81,مركز,524186,,,new
82,بخبر,523435,,,new
83,المملكة,521976,,,new
84,كأس,518783,,,new
85,المدينة,503842,,,new
86,العربية,501942,,,new
87,صفحات,500189,,,new
88,توضيح,494988,,,new
89,جامعة,483703,,,new
90,العالم,480118,,,new
91,المستخدم,477384,,,new
92,منطقة,467763,,,new
93,الدوري,459298,,,new
94,الله,454553,,,new
95,بكتاب,449614,,,new
96,وصلة,439959,,,new
97,تلقائيا,438740,,,new
98,بديلة,437694,,,new
99,حجم,435444,,,new
100,إنج,431527,,,new
